seq,latency_ns
12675,119770
12676,115821
12677,111857
12678,107913
12679,103974
12680,100007
12681,96046
12682,92111
12683,88168
12684,84217
12685,80260
12686,76305
12687,72360
12688,68411
12689,64450
12690,60498
12691,56558
12692,52606
12693,48652
12694,44733
12695,40769
12696,36811
12697,32866
12698,1224217
12699,1220402
12700,1216494
12701,1212572
12702,1208623
12703,1204703
12704,1200761
12705,1196832
12706,1192906
12707,1190245
12708,1186319
12709,1182391
12710,1178446
12711,1174525
12712,1170584
12713,1166642
12714,1162711
12715,1158775
12716,1154832
12717,1150887
12718,1146936
12719,1142999
12720,1139056
12721,1135118
12722,1131173
12723,1127262
12724,1123322
12725,1119367
12726,1115425
12727,1111494
12728,1107549
12729,1103626
12730,1099690
12731,1095744
12732,1091794
12733,1087853
12734,1083913
12735,1079977
12736,1076023
12737,1072077
12738,1068144
12739,1064209
12740,1060257
12741,1056314
12742,1052372
12743,1048425
12744,1044490
12745,1040558
12746,1036605
12747,1032663
12748,1028723
12749,1024765
12750,1020833
12751,1016891
12752,1012946
12753,1009019
12754,1005084
12755,1001133
12756,997192
12757,993258
12758,989322
12759,985388
12760,981447
12761,977493
12762,973550
12763,969613
12764,965662
12765,961719
12766,957791
12767,953829
12768,949894
12769,945946
12770,942005
12771,938050
12772,934110
12773,930157
12774,926228
12775,922290
12776,918330
12777,914390
12778,910452
12779,906497
12780,902556
12781,898628
12782,894684
12783,890732
12784,886796
12785,882842
12786,878902
12787,874974
12788,871031
12789,867097
12790,863165
12791,859201
12792,855256
12793,851316
12794,847368
12795,843433
12796,839491
12797,835541
12798,831589
12799,827655
12800,823693
12801,819757
12802,815818
12803,811868
12804,807927
12805,803990
12806,800039
12807,796085
12808,792145
12809,789473
12810,785545
12811,781616
12812,777679
12813,773726
12814,769794
12815,765836
12816,761902
12817,757954
12818,754009
12819,750069
12820,746125
12821,742174
12822,738233
12823,734293
12824,730345
12825,726402
12826,722458
12827,718506
12828,714561
12829,710618
12830,706663
12831,702726
12832,698801
12833,694849
12834,690902
12835,686960
12836,683024
12837,679083
12838,675144
12839,671193
12840,667251
12841,663314
12842,659361
12843,655422
